"V1","V2","Var","letter_var"
"f_ij_0_0",0,"ij","f"
"f_ij_0_1",0,"ij","f"
"f_ij_0_10",0,"ij","f"
"f_ij_0_11",0,"ij","f"
"f_ij_0_12",0,"ij","f"
"f_ij_0_13",0,"ij","f"
"f_ij_0_14",0,"ij","f"
"f_ij_0_15",0,"ij","f"
"f_ij_0_16",0,"ij","f"
"f_ij_0_17",0,"ij","f"
"f_ij_0_18",6.8188099641,"ij","f"
"f_ij_0_19",0,"ij","f"
"f_ij_0_2",0.0713304833000024,"ij","f"
"f_ij_0_3",0,"ij","f"
"f_ij_0_4",0,"ij","f"
"f_ij_0_5",0,"ij","f"
"f_ij_0_6",10.3746766711,"ij","f"
"f_ij_0_7",13.0869092091,"ij","f"
"f_ij_0_8",0,"ij","f"
"f_ij_0_9",0,"ij","f"
"f_ij_1_0",11.2443243089,"ij","f"
"f_ij_1_1",0,"ij","f"
"f_ij_1_10",0,"ij","f"
"f_ij_1_11",0,"ij","f"
"f_ij_1_12",0,"ij","f"
"f_ij_1_13",6.36901929256,"ij","f"
"f_ij_1_14",6.70056628463,"ij","f"
"f_ij_1_15",0,"ij","f"
"f_ij_1_16",0,"ij","f"
"f_ij_1_17",0,"ij","f"
"f_ij_1_18",0,"ij","f"
"f_ij_1_19",0,"ij","f"
"f_ij_1_2",5.65309114773,"ij","f"
"f_ij_1_3",0,"ij","f"
"f_ij_1_4",0,"ij","f"
"f_ij_1_5",0,"ij","f"
"f_ij_1_6",0,"ij","f"
"f_ij_1_7",0,"ij","f"
"f_ij_1_8",0,"ij","f"
"f_ij_1_9",0,"ij","f"
"f_ij_2_0",0,"ij","f"
"f_ij_2_1",0,"ij","f"
"f_ij_2_10",0,"ij","f"
"f_ij_2_11",0,"ij","f"
"f_ij_2_12",0,"ij","f"
"f_ij_2_13",0,"ij","f"
"f_ij_2_14",5.95282983787,"ij","f"
"f_ij_2_15",0,"ij","f"
"f_ij_2_16",3.18489097247,"ij","f"
"f_ij_2_17",0,"ij","f"
"f_ij_2_18",0,"ij","f"
"f_ij_2_19",0,"ij","f"
"f_ij_2_2",0,"ij","f"
"f_ij_2_3",0,"ij","f"
"f_ij_2_4",12.0493304378,"ij","f"
"f_ij_2_5",7.29890728556,"ij","f"
"f_ij_2_6",0,"ij","f"
"f_ij_2_7",0,"ij","f"
"f_ij_2_8",0,"ij","f"
"f_ij_2_9",0,"ij","f"
"f_ij_3_0",0,"ij","f"
"f_ij_3_1",0,"ij","f"
"f_ij_3_10",0,"ij","f"
"f_ij_3_11",21.8388782705,"ij","f"
"f_ij_3_12",0,"ij","f"
"f_ij_3_13",0,"ij","f"
"f_ij_3_14",0,"ij","f"
"f_ij_3_15",0,"ij","f"
"f_ij_3_16",0,"ij","f"
"f_ij_3_17",0,"ij","f"
"f_ij_3_18",0,"ij","f"
"f_ij_3_19",0,"ij","f"
"f_ij_3_2",0,"ij","f"
"f_ij_3_3",0,"ij","f"
"f_ij_3_4",0,"ij","f"
"f_ij_3_5",0,"ij","f"
"f_ij_3_6",0,"ij","f"
"f_ij_3_7",0,"ij","f"
"f_ij_3_8",0,"ij","f"
"f_ij_3_9",0,"ij","f"
"f_ij_4_0",0,"ij","f"
"f_ij_4_1",0,"ij","f"
"f_ij_4_10",0,"ij","f"
"f_ij_4_11",0,"ij","f"
"f_ij_4_12",0,"ij","f"
"f_ij_4_13",0,"ij","f"
"f_ij_4_14",0,"ij","f"
"f_ij_4_15",0,"ij","f"
"f_ij_4_16",0,"ij","f"
"f_ij_4_17",0,"ij","f"
"f_ij_4_18",4.1395552255,"ij","f"
"f_ij_4_19",0,"ij","f"
"f_ij_4_2",0,"ij","f"
"f_ij_4_3",0,"ij","f"
"f_ij_4_4",0,"ij","f"
"f_ij_4_5",0,"ij","f"
"f_ij_4_6",0,"ij","f"
"f_ij_4_7",0,"ij","f"
"f_ij_4_8",11.7632965177,"ij","f"
"f_ij_4_9",11.750811889,"ij","f"
"f_ij_5_0",0,"ij","f"
"f_ij_5_1",0,"ij","f"
"f_ij_5_10",0,"ij","f"
"f_ij_5_11",0,"ij","f"
"f_ij_5_12",0,"ij","f"
"f_ij_5_13",0,"ij","f"
"f_ij_5_14",0,"ij","f"
"f_ij_5_15",12.8205207713,"ij","f"
"f_ij_5_16",0,"ij","f"
"f_ij_5_17",0,"ij","f"
"f_ij_5_18",0,"ij","f"
"f_ij_5_19",0,"ij","f"
"f_ij_5_2",0,"ij","f"
"f_ij_5_3",0,"ij","f"
"f_ij_5_4",0,"ij","f"
"f_ij_5_5",0,"ij","f"
"f_ij_5_6",0,"ij","f"
"f_ij_5_7",0,"ij","f"
"f_ij_5_8",0,"ij","f"
"f_ij_5_9",0,"ij","f"
"f_ij_6_0",0,"ij","f"
"f_ij_6_1",0,"ij","f"
"f_ij_6_10",0,"ij","f"
"f_ij_6_11",0,"ij","f"
"f_ij_6_12",0,"ij","f"
"f_ij_6_13",0,"ij","f"
"f_ij_6_14",0,"ij","f"
"f_ij_6_15",0,"ij","f"
"f_ij_6_16",0,"ij","f"
"f_ij_6_17",0,"ij","f"
"f_ij_6_18",0,"ij","f"
"f_ij_6_19",0,"ij","f"
"f_ij_6_2",0,"ij","f"
"f_ij_6_3",20.2437112939,"ij","f"
"f_ij_6_4",0,"ij","f"
"f_ij_6_5",0,"ij","f"
"f_ij_6_6",0,"ij","f"
"f_ij_6_7",0,"ij","f"
"f_ij_6_8",0,"ij","f"
"f_ij_6_9",0,"ij","f"
"f_ij_7_0",0,"ij","f"
"f_ij_7_1",0,"ij","f"
"f_ij_7_10",0,"ij","f"
"f_ij_7_11",0,"ij","f"
"f_ij_7_12",0,"ij","f"
"f_ij_7_13",0,"ij","f"
"f_ij_7_14",0,"ij","f"
"f_ij_7_15",0,"ij","f"
"f_ij_7_16",0,"ij","f"
"f_ij_7_17",0,"ij","f"
"f_ij_7_18",0,"ij","f"
"f_ij_7_19",0,"ij","f"
"f_ij_7_2",0,"ij","f"
"f_ij_7_3",1.082132111581,"ij","f"
"f_ij_7_4",0,"ij","f"
"f_ij_7_5",0,"ij","f"
"f_ij_7_6",0,"ij","f"
"f_ij_7_7",0,"ij","f"
"f_ij_7_8",0,"ij","f"
"f_ij_7_9",0,"ij","f"
"f_ij_8_0",0,"ij","f"
"f_ij_8_1",0,"ij","f"
"f_ij_8_10",14.2097077691,"ij","f"
"f_ij_8_11",0,"ij","f"
"f_ij_8_12",12.507474798,"ij","f"
"f_ij_8_13",0,"ij","f"
"f_ij_8_14",0,"ij","f"
"f_ij_8_15",0,"ij","f"
"f_ij_8_16",4.5803872722,"ij","f"
"f_ij_8_17",0,"ij","f"
"f_ij_8_18",0,"ij","f"
"f_ij_8_19",0,"ij","f"
"f_ij_8_2",0,"ij","f"
"f_ij_8_3",0,"ij","f"
"f_ij_8_4",0,"ij","f"
"f_ij_8_5",0,"ij","f"
"f_ij_8_6",0,"ij","f"
"f_ij_8_7",0,"ij","f"
"f_ij_8_8",0,"ij","f"
"f_ij_8_9",0,"ij","f"
"f_ij_9_0",0,"ij","f"
"f_ij_9_1",12.7372846828,"ij","f"
"f_ij_9_10",0,"ij","f"
"f_ij_9_11",0,"ij","f"
"f_ij_9_12",0,"ij","f"
"f_ij_9_13",0,"ij","f"
"f_ij_9_14",0,"ij","f"
"f_ij_9_15",0,"ij","f"
"f_ij_9_16",0,"ij","f"
"f_ij_9_17",5.56266047391,"ij","f"
"f_ij_9_18",0,"ij","f"
"f_ij_9_19",2.95889302935,"ij","f"
"f_ij_9_2",0,"ij","f"
"f_ij_9_3",0,"ij","f"
"f_ij_9_4",0,"ij","f"
"f_ij_9_5",0,"ij","f"
"f_ij_9_6",0,"ij","f"
"f_ij_9_7",0,"ij","f"
"f_ij_9_8",0,"ij","f"
"f_ij_9_9",0,"ij","f"
